,Num_Acc,place,catu,grav,sexe,secu,locp,actp,etatp,an_nais,num_veh,senc,catv,occutc,obs,obsm,choc,manv,mois,jour,hrmn,lum,agg,int,atm,col,mom,catvopp,catv_gen,catvopp_gen
0,201600000001,1.0,1,1,2,11.0,0.0,0.0,0.0,1983.0,B02,0.0,7,0,0.0,0.0,1.0,1.0,2,1,1445,1,2,1,8,3,3,2,2,1
1,201600000001,1.0,1,3,1,21.0,0.0,0.0,0.0,2001.0,A01,0.0,2,0,0.0,0.0,7.0,15.0,2,1,1445,1,2,1,8,3,3,7,1,2
2,201600000002,1.0,1,3,1,11.0,0.0,0.0,0.0,1960.0,A01,0.0,7,0,6.0,0.0,1.0,1.0,3,16,1800,1,2,6,1,6,4,7,2,2
3,201600000002,2.0,2,3,1,11.0,0.0,0.0,0.0,2000.0,A01,0.0,7,0,6.0,0.0,1.0,1.0,3,16,1800,1,2,6,1,6,4,7,2,2
4,201600000002,3.0,2,3,2,11.0,0.0,0.0,0.0,1962.0,A01,0.0,7,0,6.0,0.0,1.0,1.0,3,16,1800,1,2,6,1,6,4,7,2,2
5,201600000003,1.0,1,1,1,11.0,0.0,0.0,0.0,1997.0,A01,0.0,7,0,0.0,1.0,6.0,1.0,7,13,1900,1,1,1,1,6,4,7,2,2
6,201600000003,0.0,3,3,1,0.0,6.0,2.0,1.0,1970.0,A01,0.0,7,0,0.0,1.0,6.0,1.0,7,13,1900,1,1,1,1,6,4,7,2,2
7,201600000004,1.0,1,3,1,23.0,0.0,0.0,0.0,1999.0,B02,0.0,32,0,0.0,0.0,1.0,1.0,8,15,1930,2,2,1,7,3,4,7,1,2
8,201600000004,2.0,2,4,1,23.0,0.0,0.0,0.0,1999.0,B02,0.0,32,0,0.0,0.0,1.0,1.0,8,15,1930,2,2,1,7,3,4,7,1,2
9,201600000004,1.0,1,1,2,11.0,0.0,0.0,0.0,1985.0,A01,0.0,7,0,0.0,0.0,8.0,15.0,8,15,1930,2,2,1,7,3,4,32,2,1
10,201600000005,1.0,1,3,2,21.0,0.0,0.0,0.0,1957.0,B02,0.0,30,0,0.0,2.0,1.0,15.0,12,23,1100,1,2,3,1,3,1,7,1,2
11,201600000005,2.0,2,3,2,21.0,0.0,0.0,0.0,2002.0,B02,0.0,30,0,0.0,2.0,1.0,15.0,12,23,1100,1,2,3,1,3,1,7,1,2
12,201600000005,1.0,1,1,1,11.0,0.0,0.0,0.0,1953.0,A01,0.0,7,0,0.0,2.0,3.0,1.0,12,23,1100,1,2,3,1,3,1,30,2,1
13,201600000006,1.0,1,1,1,11.0,0.0,0.0,0.0,1957.0,A01,0.0,7,0,0.0,1.0,1.0,1.0,12,23,1115,1,2,1,7,6,1,7,2,2
14,201600000006,0.0,3,3,2,0.0,4.0,3.0,1.0,1978.0,A01,0.0,7,0,0.0,1.0,1.0,1.0,12,23,1115,1,2,1,7,6,1,7,2,2
15,201600000007,1.0,1,1,1,11.0,0.0,0.0,0.0,1980.0,B02,1.0,7,0,0.0,2.0,2.0,17.0,5,1,1145,1,2,1,7,2,1,30,2,1
16,201600000007,2.0,2,4,1,21.0,0.0,0.0,0.0,2001.0,A01,1.0,30,0,0.0,0.0,3.0,15.0,5,1,1145,1,2,1,7,2,1,7,1,2
17,201600000007,1.0,1,1,1,21.0,0.0,0.0,0.0,2001.0,A01,1.0,30,0,0.0,0.0,3.0,15.0,5,1,1145,1,2,1,7,2,1,7,1,2
18,201600000008,1.0,1,1,2,11.0,0.0,0.0,0.0,1969.0,B02,0.0,7,0,0.0,2.0,2.0,1.0,5,14,1915,2,1,1,1,1,4,7,2,2
19,201600000008,2.0,2,1,1,11.0,0.0,0.0,0.0,1975.0,B02,0.0,7,0,0.0,2.0,2.0,1.0,5,14,1915,2,1,1,1,1,4,7,2,2
20,201600000008,1.0,1,3,1,11.0,0.0,0.0,0.0,1972.0,A01,0.0,7,0,0.0,2.0,3.0,13.0,5,14,1915,2,1,1,1,1,4,7,2,2
21,201600000009,1.0,1,1,1,11.0,0.0,0.0,0.0,1984.0,A01,0.0,7,0,0.0,0.0,3.0,1.0,9,23,1900,1,2,1,1,3,4,30,2,1
22,201600000009,1.0,1,3,1,23.0,0.0,0.0,0.0,2001.0,B02,0.0,30,0,0.0,0.0,2.0,1.0,9,23,1900,1,2,1,1,3,4,7,1,2
23,201600000010,1.0,1,1,1,11.0,0.0,0.0,0.0,1973.0,A01,0.0,7,0,0.0,1.0,2.0,1.0,12,30,1030,1,1,1,9,6,1,7,2,2
24,201600000010,0.0,3,3,1,0.0,1.0,1.0,1.0,1956.0,A01,0.0,7,0,0.0,1.0,2.0,1.0,12,30,1030,1,1,1,9,6,1,7,2,2
25,201600000011,0.0,3,3,2,0.0,4.0,3.0,1.0,1960.0,A01,0.0,7,0,0.0,1.0,1.0,1.0,1,25,800,2,2,1,8,6,1,7,2,2
26,201600000011,1.0,1,1,1,11.0,0.0,0.0,0.0,1966.0,A01,0.0,7,0,0.0,1.0,1.0,1.0,1,25,800,2,2,1,8,6,1,7,2,2
27,201600000012,1.0,1,3,1,21.0,0.0,0.0,0.0,1990.0,A01,0.0,33,0,0.0,0.0,0.0,1.0,1,28,1815,3,1,1,1,7,4,33,1,1
28,201600000013,1.0,1,1,2,11.0,0.0,0.0,0.0,1947.0,A01,0.0,7,0,0.0,1.0,2.0,1.0,2,5,1600,1,2,1,1,6,3,7,2,2
